teacher_id,first_name,last_name,birthdate
121,Denise,THLANG,1976-10-03
122,Cosette,DUQUE RODRIGUEZ,1967-08-05
123,Carole,RANIOLO,1971-01-22
124,François,MONNERAT MOREIRA,1976-04-04
125,Germaine,ROIG ARBONA,1962-02-25
126,Achille,BONOTTO,1972-07-02
127,Jeannine,WOHLFEIL,1959-05-06
128,Léonard,AIT AMROU,1962-08-11
129,Clothilde,RUISSON,1972-09-14
130,Ghislain,AUBAREDE,1960-03-27
131,Héloïse,HORVILLER,1969-04-24
132,Yves,DIOGO CARRAZEDO,1962-04-07
133,Maximilien,MESMARD,1959-06-06
134,Lisette,TOMBEUR,1975-05-29
135,Dianne,SINNAN,1975-01-23
136,Bastien,RUTHER,1962-06-07
137,Lambert,BELKHAOUDA,1969-05-09
138,Benjamine,LAFKAIHI,1971-09-09
139,Rémy,DUBLED,1977-07-02
140,Nazaire,SOUBIRAIL,1961-10-20
141,Juste,SIMAO COSTA,1958-06-13
142,Augustin,MARTILDO,1971-08-17
143,Félicie,PENA JIMENEZ,1968-11-29
144,Gilbert,POUGES,1983-02-09
145,Marcelle,KORTBI,1961-08-04
146,Josée,DESGOURDES,1976-06-19
147,Laurence,DE LAFORCADE,1964-02-23
148,Emmanuel,KRISKA,1968-04-09
149,Theirn,ORREGO VALLEJO,1963-06-02
150,Florian,GLAUDAS,1960-01-01
151,Ermenegilde,KESTENAR,1975-10-01
152,Colette,MERWALD,1965-08-16
153,Jacinthe,MILPIED,1962-08-10
154,Dennis,CELLIERES,1964-08-18
155,Fernande,AKEN ANYANGKEN,1969-10-16
156,Rosemonde,FORTIN MEZURAT,1977-05-24
157,Isabel,RENGEARD,1961-10-24
158,Dion,WARNON,1965-10-19
159,Valère,BELGODERE DE BAGNAJA,1959-10-04
160,Cosette,GOUSSOPOULOS,1975-01-16
161,Toinette,NGUYEN KHOA,1964-12-07
162,Rose,MARRAN,1963-03-11
163,Aude,ZAKE,1977-07-19
164,Dion,NICHENACHE,1964-12-15
165,Bernard,DOULGEROGLOU,1965-05-23
